Nom_FR,Nom_EN,RUBRIQUES_Prestation,Groupe,Groupe_Label_FR,Groupe_Label_EN,Ordre,Mode_Nouveau,Mode_Remontage,Mode_Stockage,Mode_Mobilier,Special
Etude des spécifications,Specifications analysis,Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,1,Défaut,Défaut,Masqué,Masqué,
Réalisation d'étude (modélisation 3D),3D Modeling & Design,Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,2,Défaut,Défaut,Masqué,Masqué,
Réalisation des plans techniques (tous corps d'état),Technical drawings (all trades),Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,3,Défaut,Optionnel,Masqué,Masqué,
Sélection des fournisseurs & coordination de travaux,Sourcing & contractor coordination,Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,4,Défaut,Optionnel,Masqué,Masqué,
Suivi de production pour la bonne conformité,Production monitoring & compliance,Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,5,Défaut,Optionnel,Masqué,Masqué,
Remplissage des dossiers administratifs,Administrative filing,Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,6,Optionnel,Optionnel,Masqué,Masqué,
Autre,Other,Etude & Maîtrise d'œuvre,1,Phase 1,Phase 1,7,Optionnel,Optionnel,Masqué,Masqué,
Suivi du chantier durant le montage et le démontage,On-site supervision (install & dismantle),Etude & Maîtrise d'œuvre,1,Phase 2,Phase 2,1,Défaut,Défaut,Masqué,Masqué,
Autre,Other,Etude & Maîtrise d'œuvre,1,Phase 2,Phase 2,2,Optionnel,Optionnel,Masqué,Masqué,
"Fourniture, pose et dépose d'un revêtement de sol","Flooring supply, install & removal",Revêtement de sol & Habillage mural,0,,,1,Défaut,Défaut,Masqué,Masqué,
Autre,Other,Revêtement de sol & Habillage mural,0,,,2,Optionnel,Optionnel,Masqué,Masqué,
Fabrication & location de cloisons,Wall partition manufacturing & rental,Menuiserie & Agencement,0,,,1,Défaut,Optionnel,Masqué,Masqué,
Fabrication & location de chassis en menuiserie,Wooden frame manufacturing & rental,Menuiserie & Agencement,0,,,2,Optionnel,Optionnel,Masqué,Masqué,
Fabrication & location de meuble sur mesure,Custom furniture manufacturing & rental,Menuiserie & Agencement,0,,,3,Optionnel,Optionnel,Masqué,Défaut,
